[2021-04-26 16:24:23,685][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:24:23,725][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:24:23,728][MainThread:3248][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 16:30:25,998][MainThread:8532][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:30:26,065][MainThread:8532][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:30:26,103][MainThread:8532][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:30:48,824][MainThread:7296][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:30:48,887][MainThread:7296][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:30:48,925][MainThread:7296][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:33:31,499][MainThread:13496][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:33:31,565][MainThread:13496][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:33:31,601][MainThread:13496][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:34:09,650][MainThread:11872][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:34:09,712][MainThread:11872][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:34:09,745][MainThread:11872][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:34:54,391][MainThread:12228][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:34:54,473][MainThread:12228][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:34:54,512][MainThread:12228][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:36:23,678][MainThread:11324][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:36:23,752][MainThread:11324][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:36:23,788][MainThread:11324][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:36:55,034][MainThread:3372][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:36:55,108][MainThread:3372][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:36:55,146][MainThread:3372][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:49:03,703][MainThread:13760][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:49:03,777][MainThread:13760][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:49:03,812][MainThread:13760][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:52:35,061][MainThread:11864][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:52:35,144][MainThread:11864][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:52:35,182][MainThread:11864][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 16:53:19,285][MainThread:1948][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:53:19,361][MainThread:1948][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:53:19,398][MainThread:1948][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:00:23,632][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:00:23,712][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:00:23,713][MainThread:3472][task_id:Sources_Login_libs][Login_libs.py:32][WARNING][请求异常]
[2021-04-26 17:00:23,713][MainThread:3472][task_id:Testing][test_01_Login.py:37][WARNING][断言异常]
[2021-04-26 17:00:23,760][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:00:23,801][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:00:23,847][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:00:24,000][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:00:24,041][MainThread:3472][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:00:24,044][MainThread:3472][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 17:01:56,588][MainThread:11168][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:01:56,670][MainThread:11168][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:01:56,707][MainThread:11168][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:02:20,184][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:02:20,253][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:02:20,396][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:02:20,435][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:02:20,478][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:02:20,518][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:02:20,556][MainThread:7612][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:02:20,559][MainThread:7612][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
